id,condition,if_search_factor,start,end,duration,time_diff_exploration,chart,code,time_elapse_from_start,search_content
1,foresight,search,1.48986E+12,1.48986E+12,6,121349,Xilinx,14448,92656,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,7,121349,Corning ,13316,92662,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Activision Blizzard,18211,92669,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,6,121349,Praxair,14029,92678,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Intuitive Surgical,83224,92684,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Loews ,13751,92692,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Stanley Black & Decker,14209,92707,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,7,121349,Xylem ,174354,92715,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,10,121349,Consolidated Edison,13302,92722,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,5,121349,E I Du Pont De Nemours ,13393,92732,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,11,121349,ENSCO ,13420,92737,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,Paychex,13972,92748,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,22,121349,BlackRock,18182,92763,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,17,121349,Invesco,169902,92785,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,28,121349,Leucadia National ,14689,92802,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,21,121349,General Dynamics ,13505,92830,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,16,121349,AbbVie ,315494,92851,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,7,121349,Snap-on ,14173,92867,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,73,121349,Dominion Resources,13375,92874,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,118,121349,Dow Chemical ,13378,92947,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,48,121349,CVS Health,13331,93065,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,18,121349,AmerisourceBergen ,18208,93113,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,127,121349,Eaton Corporation ,13401,93131,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,15,121349,H & R Block ,13544,93258,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,305,121349,Caterpillar,13195,93273,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,516,121349,Walt Disney ,14398,93578,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,53,121349,Caterpillar,13195,94094,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Hewlett-Packard,13578,94218,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,9,121349,Accenture ,81049,94226,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Nielsen Holdings ,174262,94235,Walt Disney 
1,foresight,search,1.48986E+12,1.48986E+12,8,121349,Michael Kors Holdings ,314517,94243,Walt Disney 
